,loss,decoder_loss,decoder_1_loss,decoder_2_loss,decoder_3_loss,decoder_4_loss,decoder_5_loss,val_loss,val_decoder_loss,val_decoder_1_loss,val_decoder_2_loss,val_decoder_3_loss,val_decoder_4_loss,val_decoder_5_loss
0,0.12097199261188507,0.0023417044430971146,0.0023506192956119776,0.0049267783761024475,0.0028061189223080873,0.0028319063130766153,0.006137378513813019,0.04247448220849037,0.0005716310115531087,0.0005686295917257667,0.0014662155881524086,0.0009213846642524004,0.0009215668542310596,0.0024829127360135317
1,0.033393535763025284,0.00044887865078635514,0.00045966822654008865,0.0011501682456582785,0.0007121263770386577,0.0007221340201795101,0.0019549066200852394,0.028169162571430206,0.0003595418529585004,0.00035811829729937017,0.0009521153406240046,0.000585411733482033,0.0005914178909733891,0.0016753519885241985
2,0.02538539469242096,0.0003357961541041732,0.00034650249290280044,0.0008837198838591576,0.0005185478366911411,0.0005288259126245975,0.0014818543568253517,0.02631405182182789,0.0004102868842892349,0.0004104177060071379,0.0010097083868458867,0.0005015216302126646,0.0004983296385034919,0.0014396412298083305
3,0.02103503793478012,0.0002759679045993835,0.0002816901251208037,0.0007285135798156261,0.0004246678145136684,0.0004325384215917438,0.0012335035717114806,0.019739750772714615,0.00023893800971563905,0.00023959818645380437,0.000653255614452064,0.0004084007232449949,0.000411133369198069,0.0011909119784832
4,0.018056215718388557,0.00023358622274827212,0.00023956595396157354,0.0006265074480324984,0.00036139797884970903,0.00037186802364885807,0.0010584730189293623,0.016718409955501556,0.00019613948825281113,0.00020054068590980023,0.0005469986354000866,0.00034481738111935556,0.00035430927528068423,0.0010152620961889625
5,0.016344936564564705,0.00021777485380880535,0.00022126884141471237,0.0005738629261031747,0.0003293065819889307,0.0003363140276633203,0.0009501635795459151,0.01721552200615406,0.0002708458050619811,0.0002697753079701215,0.0006799193215556443,0.0003159059851896018,0.00031980854691937566,0.0009239997016265988
6,0.014420019462704659,0.00018802173144649714,0.00019260268891230226,0.0005047611193731427,0.0002897305239457637,0.00029822526266798377,0.0008403828251175582,0.014274070970714092,0.00018746514979284257,0.00019001189502887428,0.0004999238299205899,0.00028658652445301414,0.0002861948451027274,0.0008324572117999196
7,0.013929853215813637,0.00018831946363206953,0.000194172200281173,0.0004966248525306582,0.000279613392194733,0.0002869361196644604,0.0008014566265046597,0.013111407868564129,0.00017245819617528468,0.00017132132779806852,0.00045622020843438804,0.00026401429204270244,0.00026762395282275975,0.0007673791260458529
8,0.0126791438087821,0.00017104498692788184,0.00017456857312936336,0.0004524896794464439,0.0002523423172533512,0.0002613665128592402,0.000729491701349616,0.013102943077683449,0.00016752301598899066,0.00016924830561038107,0.0004531292652245611,0.0002611269010230899,0.0002631201350595802,0.0007710633217357099
9,0.011941229924559593,0.0001595731300767511,0.00016242174024228007,0.0004217925597913563,0.00024003109137993306,0.0002481622505001724,0.0006913116085343063,0.011622191406786442,0.00014829743304289877,0.00015175876615103334,0.00040597221232019365,0.0002278322644997388,0.0002335905155632645,0.0006800990668125451
10,0.011478104628622532,0.00015670193533878773,0.00015978644660208374,0.00041255218093283474,0.00022898343740962446,0.00023556107771582901,0.0006571551784873009,0.012187747284770012,0.00015812102355994284,0.00015509319200646132,0.00042045285226777196,0.00025643306435085833,0.00025352288503199816,0.0007160044042393565
11,0.010948621667921543,0.00015053419338073581,0.00015296215133275837,0.0003961085749324411,0.00021800548711325973,0.0002234516869066283,0.0006242583622224629,0.011982055380940437,0.00015927752247080207,0.0001569643063703552,0.0004090380680281669,0.0002526345488149673,0.00024667332763783634,0.0007076127221807837
12,0.010324693284928799,0.00014086495502851903,0.0001452749565942213,0.0003745415306184441,0.00020414112077560276,0.00020959295216016471,0.000587940274272114,0.010213031433522701,0.00013591682363767177,0.00013500398199539632,0.00036636757431551814,0.00019820992019958794,0.0001971168239833787,0.0005883108824491501
13,0.009820017963647842,0.00013293953088577837,0.00013715980458073318,0.0003541189362294972,0.00019536456966307014,0.00020248591317795217,0.0005610877997241914,0.009917758405208588,0.00013430370017886162,0.0001349129743175581,0.0003622068325057626,0.00018948802608065307,0.0001889299601316452,0.0005648057558573782
14,0.009688807651400566,0.00013478305481839925,0.00013823459448758513,0.00035563085111789405,0.00019255747611168772,0.00019945991516578943,0.0005467463051900268,0.009641517885029316,0.00012098959268769249,0.0001202572530019097,0.00033185293432325125,0.00020117512030992657,0.00019870030519086868,0.0005681864568032324
15,0.009035332128405571,0.0001251309149665758,0.0001273349771508947,0.0003321105323266238,0.00017938570817932487,0.000184118835022673,0.0005098258843645453,0.008768845349550247,0.00011007026478182524,0.00011178985732840374,0.00030839574174024165,0.0001726961345411837,0.00017193179519381374,0.0005118399276398122
16,0.009101265110075474,0.00013131606101524085,0.0001331926032435149,0.00034155184403061867,0.00017926435975823551,0.00018477090634405613,0.000505720148794353,0.008961880579590797,0.0001288043858949095,0.00012855918612331152,0.00034477654844522476,0.00016702247376088053,0.0001658955734455958,0.0004923834349028766
17,0.008540268987417221,0.00012156935554230586,0.00012460394646041095,0.0003198343620169908,0.00016812222020234913,0.00017438907525502145,0.00047532390453852713,0.008821036666631699,0.00012064198381267488,0.00011812178854597732,0.0003175947058480233,0.0001770941016729921,0.00017752379062585533,0.0005051707266829908
18,0.008222853764891624,0.0001162133485195227,0.00011757056199712679,0.0003053699037991464,0.00016405474161729217,0.00016790935478638858,0.00046034069964662194,0.00750561710447073,9.436187974642962e-05,9.346826118417084e-05,0.0002656783035490662,0.00014752495917491615,0.00014889842714183033,0.00043645818368531764
19,0.007891745306551456,0.00011107600585091859,0.00011372265726095065,0.0002926672750618309,0.00015684080426581204,0.00016167902504093945,0.00044217545655556023,0.007966329343616962,9.971940016839653e-05,0.00010235649824608117,0.0002793410385493189,0.00016219139797613025,0.00016155166667886078,0.00046470994129776955
20,0.00764499232172966,0.00010874124563997611,0.00011217582505196333,0.0002875502104870975,0.00014981231652200222,0.00015537832223344594,0.00042433853377588093,0.008387269452214241,0.00011956022353842854,0.00011776461178669706,0.00030521134613081813,0.00017067664884962142,0.0001718262064969167,0.000475532840937376
21,0.0076962118037045,0.00011007102875737473,0.00011326451203785837,0.00028847280191257596,0.0001534534094389528,0.00015731356688775122,0.00042773791938088834,0.007422325201332569,9.816022793529555e-05,9.709183359518647e-05,0.00026569105102680624,0.00014884797565173358,0.0001479633356211707,0.0004273350932635367
22,0.007312985602766275,0.0001053783344104886,0.00010798239236464724,0.00027696284814737737,0.0001438351027900353,0.00014797916810493916,0.0004038182378280908,0.008550985716283321,0.00013429802493192255,0.00013411010149866343,0.0003399424604140222,0.00016213112394325435,0.00015681296645198017,0.0004564209666568786
23,0.007367059122771025,0.00010615080100251362,0.00010902056965278462,0.00027622401830740273,0.0001478747872170061,0.00015162599447648972,0.0004090147267561406,0.00856990460306406,0.00013147103891242296,0.000131666412926279,0.0003330535255372524,0.00016856641741469502,0.00016594433691352606,0.00046417201519943774
24,0.006891506724059582,9.809101175051183e-05,0.00010130312148248777,0.00025977464974857867,0.00013564838445745409,0.00014009956794325262,0.0003818617551587522,0.011764315888285637,0.00023404484090860933,0.00023012356541585177,0.0005459649255499244,0.00020492366456892341,0.00020289604435674846,0.0005432676989585161
25,0.00699989078566432,0.00010198332893196493,0.00010376037971582264,0.0002653365663718432,0.00013949316053185612,0.00014363127411343157,0.0003857655683532357,0.008104672655463219,0.00011203539179405198,0.00011620463919825852,0.00029951424221508205,0.0001646551099838689,0.0001696895487839356,0.00045469467295333743
26,0.006705377250909805,9.776756633073092e-05,9.996924200095236e-05,0.000256141007412225,0.0001322823518421501,0.00013612196198664606,0.00036778193316422403,0.007181457243859768,9.426948236068711e-05,9.60716133704409e-05,0.0002576155820861459,0.00014273299893829972,0.00014603529416490346,0.0004126190615352243
27,0.006892614532262087,0.00010079400817630813,0.00010387905058450997,0.0002618017897475511,0.00013790602679364383,0.0001417972962372005,0.00037902226904407144,0.009810459800064564,0.00016541598597541451,0.0001639698020881042,0.0003933938860427588,0.00019459673785604537,0.0001922413648571819,0.0005160296568647027
28,0.006577380932867527,9.530944953439757e-05,9.70473192865029e-05,0.00024914712412282825,0.00013108302664477378,0.0001348665973637253,0.000362759834388271,0.007480367086827755,0.00011261802865192294,0.00011407026613596827,0.000295720441499725,0.00014340858615469187,0.00014317511522676796,0.0004009891417808831
29,0.00656998110935092,9.649866115069017e-05,9.904956823447719e-05,0.00025148881832137704,0.0001303986500715837,0.0001337187277385965,0.00035954260965809226,0.006791877560317516,8.815104956738651e-05,8.818689821055159e-05,0.00024124170886352658,0.00014308547542896122,0.00014203361934050918,0.0003918006259482354
