,0
0,0.9935106
1,0.9946105
2,0.996888
3,0.99684596
4,0.99187297
5,0.99291205
6,0.9914303
7,0.99794805
8,0.99684995
9,0.9961562
10,0.9977245
11,0.99574697
12,0.9960768
13,0.99791634
14,0.9959313
15,0.9967393
16,0.99370193
17,0.99410135
18,0.99609023
19,0.99785244
20,0.9955982
21,0.9977105
22,0.99735546
23,0.99700993
24,0.9953057
25,0.99325484
26,0.9974241
27,0.9957604
28,0.9979519
29,0.9970875
30,0.9967599
31,0.99761987
32,0.9983708
33,0.9942158
34,0.9968713
35,0.9935497
36,0.9944804
37,0.997103
38,0.9948491
39,0.9978923
40,0.99473774
41,0.99797213
42,0.99633455
43,0.9949124
44,0.9967392
45,0.99424434
46,0.99752426
47,0.9966727
48,0.9961661
49,0.9956382
50,0.99798816
51,0.99788815
52,0.994013
53,0.9961823
54,0.99444336
55,0.99769783
56,0.99491036
57,0.9984648
58,0.99695563
59,0.9964479
60,0.9967451
61,0.9963503
62,0.99817127
63,0.99787116
64,0.9974841
65,0.99598867
66,0.9935996
67,0.9969454
68,0.9978333
69,0.9935215
70,0.9969636
71,0.9969912
72,0.9890886
73,0.9969913
74,0.9977651
75,0.99636453
76,0.99733293
77,0.9977671
78,0.99593604
79,0.9983785
80,0.9952447
81,0.99685764
82,0.9934817
83,0.99819094
84,0.99552995
85,0.9945762
86,0.9942905
87,0.9967283
88,0.99505424
89,0.9973805
90,0.9976111
91,0.99501836
92,0.99671465
93,0.9947959
94,0.99460596
95,0.99853945
96,0.99442965
97,0.997087
98,0.9882064
99,0.99570876
100,0.9962806
101,0.9967928
102,0.9954829
103,0.9968622
104,0.9971773
105,0.99515
106,0.99118876
107,0.9957205
108,0.9962032
109,0.9926598
110,0.99435186
111,0.9954441
112,0.99593854
113,0.99730706
114,0.99715227
115,0.99685717
116,0.99727017
117,0.98860484
118,0.9980253
119,0.9938331
120,0.99570525
121,0.99768376
122,0.99824196
123,0.9964042
124,0.99588186
125,0.99618083
126,0.9976037
127,0.99464935
128,0.99819505
129,0.997827
130,0.9954027
131,0.996903
132,0.9933623
133,0.9964772
134,0.99389833
135,0.997175
136,0.9946212
137,0.9935731
138,0.99870276
139,0.996427
140,0.9981724
141,0.9986467
142,0.9951067
143,0.9971979
144,0.9955862
145,0.9974176
146,0.99595344
147,0.9970769
148,0.9970438
149,0.99094737
150,0.99650896
151,0.99279535
152,0.9970629
153,0.993578
154,0.9967828
155,0.9975201
156,0.99152404
157,0.99420005
158,0.9958331
159,0.997361
160,0.9970119
161,0.9978491
162,0.9941289
163,0.9961465
164,0.9963025
165,0.996726
166,0.9937103
167,0.99742997
168,0.9968655
169,0.9935055
170,0.9969714
171,0.99495846
172,0.99400175
173,0.99548054
174,0.99431115
175,0.9941473
176,0.9959497
177,0.99670064
178,0.99051285
179,0.9978626
180,0.9977284
181,0.99639314
182,0.9976606
183,0.9981417
184,0.9977073
185,0.99550223
186,0.98298955
187,0.99689275
188,0.9968192
189,0.9983046
190,0.9973113
191,0.9978865
192,0.99756193
193,0.9965197
194,0.9962723
195,0.9973211
196,0.99757415
197,0.99350405
198,0.99560386
199,0.9969695
200,0.99716544
201,0.99585444
202,0.9939753
203,0.9937605
204,0.9974655
205,0.9878236
206,0.99736017
207,0.9975512
208,0.994105
209,0.9983837
210,0.99688196
211,0.99158114
212,0.9954397
213,0.997033
214,0.99783564
215,0.9955168
216,0.9979263
217,0.99461704
218,0.9962253
219,0.9965017
220,0.99354917
221,0.9967738
222,0.99688727
223,0.9965154
224,0.9959456
225,0.9932954
226,0.9983549
227,0.9980866
228,0.9960096
229,0.99559826
230,0.99511206
231,0.9960493
232,0.9963704
233,0.9977835
234,0.9968641
235,0.9985137
236,0.99440974
237,0.99520475
238,0.9950738
239,0.99753684
240,0.99836284
241,0.99781084
242,0.9962644
