,loss,decoder_loss,decoder_1_loss,decoder_2_loss,val_loss,val_decoder_loss,val_decoder_1_loss,val_decoder_2_loss
0,0.010038654319941998,0.0023748506791889668,0.002401363104581833,0.0052624354138970375,0.003790851216763258,0.0008678248268552125,0.000844606023747474,0.0020784204825758934
1,0.0024086327757686377,0.0005147691699676216,0.0005111171631142497,0.0013827469665557146,0.0020751794800162315,0.0004502229858189821,0.00042692438000813127,0.0011980327544733882
2,0.0017965148435905576,0.0003760718973353505,0.0003703066904563457,0.0010501372162252665,0.0017831787699833512,0.000387053209124133,0.00036875688238069415,0.0010273691732436419
3,0.0014730846742168069,0.0003024011675734073,0.0002997273695655167,0.0008709559333510697,0.0015363100683316588,0.0003271295572631061,0.00031669039162807167,0.0008924899157136679
4,0.0012567364610731602,0.00025676406221464276,0.0002534154918976128,0.0007465572562068701,0.0011220242595300078,0.00022533704759553075,0.00021968355576973408,0.0006770037580281496
5,0.0011546562891453505,0.00023617596889380366,0.0002334589371457696,0.0006850208155810833,0.0010591187747195363,0.00021578565065283328,0.0002096887183142826,0.0006336445221677423
6,0.0010390336392447352,0.00021253801241982728,0.0002080499689327553,0.0006184459198266268,0.0008640270680189133,0.0001694568491075188,0.00016447692178189754,0.0005300932098180056
7,0.0009682491654530168,0.00019733613589778543,0.0001956886553671211,0.000575224228668958,0.0010221345582976937,0.00021138586453162134,0.00020623384625650942,0.0006045147310942411
8,0.0009247016278095543,0.00018894726235885173,0.00018753665790427476,0.0005482173291966319,0.0009283100953325629,0.00019078212790191174,0.00018399131658952683,0.0005535366362892091
9,0.0008169428328983486,0.00016508897533640265,0.0001640505070099607,0.0004878032486885786,0.0008346133981831372,0.00017003800894599408,0.0001647772005526349,0.0004997983342036605
10,0.0007967084529809654,0.00016232579946517944,0.00016062872600741684,0.00047375389840453863,0.0007133752224035561,0.00014318600005935878,0.0001378589222440496,0.00043233015458099544
11,0.0007506095571443439,0.0001529757573734969,0.00015127428923733532,0.00044635921949520707,0.0006708441069349647,0.0001336786081083119,0.0001285341422772035,0.00040863166213966906
12,0.0007107596029527485,0.00014463395928032696,0.0001429760450264439,0.0004231490020174533,0.0007373954867944121,0.00015303809777833521,0.00014387047849595547,0.00044048685231246054
13,0.0006844335584901273,0.00013867240340914577,0.00013809457595925778,0.00040766652091406286,0.0006169422413222492,0.00012118006270611659,0.00011678331065922976,0.00037897887523286045
14,0.0006590087432414293,0.0001338458532700315,0.00013300140562932938,0.0003921620373148471,0.0007998076034709811,0.00016919089830480516,0.0001647612953092903,0.00046585543896071613
