,loss,decoder_loss,decoder_1_loss,decoder_2_loss,val_loss,val_decoder_loss,val_decoder_1_loss,val_decoder_2_loss
0,0.0069471485912799835,0.0016351668164134026,0.0016292696818709373,0.0036827069707214832,0.002342983614653349,0.0005209468654356897,0.0005003429832868278,0.0013216943480074406
1,0.0020940504036843777,0.00045144741307012737,0.00044658349361270666,0.0011960190022364259,0.0017935832729563117,0.00038323047920130193,0.0003731378528755158,0.0010372149990871549
2,0.0015640197088941932,0.0003330008185002953,0.00032531717442907393,0.000905702356249094,0.0020093123894184828,0.0004419760371092707,0.0004302524321246892,0.0011370843276381493
3,0.0012842236319556832,0.0002692411944735795,0.0002654476265888661,0.0007495348108932376,0.001235646428540349,0.00025942540378309786,0.0002566136827226728,0.0007196067599579692
4,0.0010597555665299296,0.00021821512200403959,0.00021413451759144664,0.0006274062907323241,0.00108728080522269,0.00022606523998547345,0.00022105731477495283,0.0006401583668775856
5,0.0009735902422107756,0.0002006102877203375,0.0001958645589184016,0.0005771149299107492,0.0008543194271624088,0.00017145081073977053,0.00016364161274395883,0.0005192271200940013
6,0.0008836588240228593,0.00018018223636317998,0.00017735168512444943,0.0005261240876279771,0.0008784621022641659,0.0001810031390050426,0.00017395032045897096,0.0005235083517618477
7,0.0008009319426491857,0.0001618599781068042,0.0001608284655958414,0.00047824348439462483,0.0008025285787880421,0.00016530991706531495,0.00015767154400236905,0.00047954704496078193
8,0.0007978531648404896,0.00016393378609791398,0.00016077476902864873,0.00047314472612924874,0.0006889562937431037,0.00013817509170621634,0.00013279619452077895,0.0004179849347565323
9,0.0007238385151140392,0.0001461595093132928,0.00014644897601101547,0.00043122979695908725,0.0006754678324796259,0.00013801340537611395,0.00013107637641951442,0.0004063782107550651
10,0.000676703464705497,0.00013660713739227504,0.00013513778685592115,0.0004049585259053856,0.0007679237751290202,0.0001604205317562446,0.00015274663746822625,0.00045475654769688845
11,0.0006525152712129056,0.00013243634020909667,0.00013063613732811064,0.0003894429828505963,0.0006468381034210324,0.00013229819887783378,0.00012460981088224798,0.00038993009366095066
12,0.0005942876450717449,0.00011880935198860243,0.00011701034236466512,0.0003584675141610205,0.0005051054758951068,9.587695240043104e-05,9.202296496368945e-05,0.0003172056458424777
13,0.0005702789057977498,0.00011422739771660417,0.00011321710189804435,0.00034283401328139007,0.0006168569670990109,0.00012520901509560645,0.00012045435869367793,0.0003711937752086669
14,0.0006013927632011473,0.00012292723113205284,0.00012152094132034108,0.00035694451071321964,0.00046599775669164956,8.951962081482634e-05,8.399607759201899e-05,0.00029248191276565194
