,0
0,0.991158
1,0.9954849
2,0.99797386
3,0.9949727
4,0.9843988
5,0.9934097
6,0.9912919
7,0.9978471
8,0.99853367
9,0.9983332
10,0.99749696
11,0.99745023
12,0.99519455
13,0.9977684
14,0.996438
15,0.9959007
16,0.9911485
17,0.99381995
18,0.9969967
19,0.9972037
20,0.9926342
21,0.9985894
22,0.9985559
23,0.9970022
24,0.9959208
25,0.9956985
26,0.99619967
27,0.9932683
28,0.9973877
29,0.99806523
30,0.99542946
31,0.99812174
32,0.9977071
33,0.9932991
34,0.9974543
35,0.99564624
36,0.99514747
37,0.99657565
38,0.99724126
39,0.99862945
40,0.9937183
41,0.99861383
42,0.9977297
43,0.9969698
44,0.99444205
45,0.9951406
46,0.9968491
47,0.99713504
48,0.99663913
49,0.9955919
50,0.9977755
51,0.9970898
52,0.99604535
53,0.9928394
54,0.99273086
55,0.99873996
56,0.99202526
57,0.99774003
58,0.99785113
59,0.991385
60,0.996899
61,0.99644625
62,0.998566
63,0.99891335
64,0.9983065
65,0.99381864
66,0.99524075
67,0.9980976
68,0.99838513
69,0.993752
70,0.99665135
71,0.9979444
72,0.9953705
73,0.9972478
74,0.9986922
75,0.9983612
76,0.99727273
77,0.99588597
78,0.99572426
79,0.99829435
80,0.9969881
81,0.9956651
82,0.99302506
83,0.9956727
84,0.9960288
85,0.9957011
86,0.9900889
87,0.9980767
88,0.99729556
89,0.9923749
90,0.9973323
91,0.99245405
92,0.99781865
93,0.99562824
94,0.99476117
95,0.9987332
96,0.9935783
97,0.99516416
98,0.98460007
99,0.9950386
100,0.99518937
101,0.9952818
102,0.99183065
103,0.9961547
104,0.9955378
105,0.9953173
106,0.995944
107,0.99441606
108,0.9946386
109,0.9866387
110,0.9955914
111,0.9973296
112,0.99809897
113,0.99549955
114,0.99778646
115,0.99725217
116,0.9938973
117,0.9962791
118,0.9974196
119,0.99199426
120,0.9982205
121,0.9971477
122,0.9986954
123,0.9948902
124,0.9979918
125,0.9972977
126,0.9970448
127,0.9885277
128,0.9982962
129,0.99569076
130,0.99595755
131,0.99494624
132,0.9962185
133,0.9984057
134,0.99506664
135,0.9969205
136,0.99386424
137,0.9958962
138,0.9990709
139,0.9964958
140,0.99730706
141,0.9984026
142,0.99595946
143,0.9967211
144,0.9946219
145,0.99652576
146,0.99382246
147,0.9961997
148,0.9959576
149,0.9852829
150,0.9980904
151,0.9948788
152,0.99821794
153,0.99233
154,0.9934399
155,0.9976163
156,0.99074507
157,0.9904552
158,0.99633104
159,0.99739516
160,0.99590904
161,0.9968543
162,0.99579453
163,0.99214345
164,0.9985251
165,0.99636436
166,0.9955976
167,0.9958022
168,0.9973974
169,0.99260664
170,0.99585915
171,0.9965887
172,0.99201417
173,0.99723727
174,0.9948459
175,0.9945822
176,0.9976693
177,0.99577147
178,0.99138695
179,0.9971185
180,0.9984085
181,0.99589413
182,0.9957565
183,0.9973684
184,0.99647254
185,0.99726456
186,0.97080106
187,0.997718
188,0.9959901
189,0.99752545
190,0.9961914
191,0.99755096
192,0.9984504
193,0.9951151
194,0.99688846
195,0.998016
196,0.99526054
197,0.9882717
198,0.9959878
199,0.9954308
200,0.9946252
201,0.9918347
202,0.9965462
203,0.9909881
204,0.9972578
205,0.9909364
206,0.997691
207,0.9987968
208,0.9924395
209,0.99908054
210,0.9982217
211,0.99443644
212,0.99212456
213,0.9970939
214,0.99855125
215,0.9909364
216,0.9962992
217,0.9955663
218,0.9943079
219,0.9977448
220,0.9916917
221,0.9959928
222,0.99802727
223,0.9959778
224,0.9978422
225,0.9936803
226,0.9974326
227,0.9962431
228,0.996036
229,0.99676055
230,0.99656254
231,0.99701905
232,0.99237055
233,0.997583
234,0.99258643
235,0.9976571
236,0.9939253
237,0.99140954
238,0.99677896
239,0.9971003
240,0.9962094
241,0.99818254
242,0.9958415
243,0.9990989
244,0.9973389
245,0.99777067
246,0.9840121
247,0.9934564
248,0.9944145
249,0.99891025
250,0.99507666
251,0.9981824
252,0.9956747
253,0.9967825
254,0.99691355
255,0.9947973
256,0.99765706
257,0.99518156
258,0.9966397
259,0.9973895
260,0.99741423
261,0.99308425
262,0.9964335
263,0.9941239
264,0.99352276
265,0.9949692
266,0.9973227
267,0.9943245
268,0.9991983
269,0.99396783
270,0.99606955
271,0.9974432
272,0.9977146
273,0.99494624
274,0.99246967
275,0.9951824
276,0.99440634
277,0.99667966
278,0.99625033
279,0.98846865
280,0.9957969
281,0.99776804
282,0.995971
283,0.9942307
284,0.9955929
285,0.99427754
286,0.997342
287,0.997076
288,0.99452657
289,0.9938539
290,0.9981958
291,0.99186146
292,0.9962158
293,0.9929497
294,0.99582267
295,0.9927054
296,0.99571663
297,0.9961482
298,0.99607515
299,0.99244183
300,0.9933153
301,0.99573237
302,0.99847496
303,0.99504876
304,0.99667954
305,0.99822086
306,0.9969243
307,0.978803
308,0.9980899
309,0.9951714
310,0.99635047
311,0.9968647
312,0.99636286
313,0.99543476
314,0.99350834
315,0.9943026
316,0.9934734
317,0.99408
318,0.9956278
319,0.99511135
320,0.9966004
321,0.99756795
322,0.998532
323,0.9980281
324,0.9982386
325,0.98483557
326,0.9973171
327,0.99308455
328,0.9987247
329,0.99507934
330,0.99710697
331,0.9930151
332,0.99794734
333,0.99762005
334,0.9978096
335,0.99742204
336,0.99621856
337,0.99424815
338,0.998368
339,0.9906161
340,0.995404
341,0.9951731
342,0.9966671
343,0.997462
344,0.9942377
345,0.9947505
346,0.99671584
347,0.9765939
348,0.99546665
349,0.9933513
350,0.9971532
351,0.99543726
352,0.996345
353,0.9957363
354,0.997529
355,0.9944175
356,0.99472684
357,0.9974224
358,0.9951083
359,0.99666107
360,0.9958345
361,0.9931833
362,0.9975755
363,0.997956
364,0.99487776
365,0.998567
366,0.99842834
367,0.99792993
368,0.9982774
369,0.997008
370,0.98448074
371,0.9968095
372,0.9947516
373,0.99746865
374,0.99381024
375,0.9966839
376,0.996377
377,0.99568224
378,0.9955391
379,0.99111915
380,0.9975851
381,0.9953995
382,0.99168074
383,0.9962721
384,0.99602544
385,0.9871382
386,0.9978456
387,0.99462974
388,0.9975802
389,0.99670106
390,0.99644864
391,0.9926036
392,0.9977053
393,0.9979271
394,0.9967925
395,0.9910979
396,0.9979368
397,0.994517
398,0.9963178
399,0.9965703
400,0.9985077
401,0.99878937
402,0.9975186
403,0.9980641
404,0.992801
405,0.9954176
406,0.99535537
407,0.9867825
408,0.9966565
409,0.99784887
410,0.99419653
411,0.9983407
412,0.99422336
413,0.99857163
414,0.99810994
415,0.99787104
416,0.98003286
417,0.9968376
418,0.99201083
419,0.994337
420,0.99762833
421,0.99417263
422,0.99471027
423,0.98584837
424,0.99481636
425,0.99916226
426,0.9977252
427,0.99351585
428,0.99738425
429,0.9957869
430,0.99727756
431,0.9925576
432,0.99301434
433,0.9988997
434,0.98943347
435,0.9954687
436,0.99573416
437,0.997414
