,loss,decoder_loss,decoder_1_loss,decoder_2_loss,decoder_mean_squared_error,decoder_1_mean_squared_error,decoder_2_mean_squared_error,val_loss,val_decoder_loss,val_decoder_1_loss,val_decoder_2_loss,val_decoder_mean_squared_error,val_decoder_1_mean_squared_error,val_decoder_2_mean_squared_error
0,0.17576687037944794,0.044166676700115204,0.0443689227104187,0.08723124861717224,0.0441666804254055,0.044368926435709,0.08723124861717224,0.11518356949090958,0.02886117994785309,0.029172178357839584,0.05715020373463631,0.02886117994785309,0.029172178357839584,0.05715020373463631
1,0.08350557088851929,0.020500440150499344,0.020544670522212982,0.042460452765226364,0.020500442013144493,0.020544670522212982,0.04246045649051666,0.06174638494849205,0.014463541097939014,0.014583189971745014,0.03269965574145317,0.014463542029261589,0.014583189971745014,0.03269965574145317
2,0.05329511687159538,0.012928484007716179,0.012884405441582203,0.027482224628329277,0.012928484007716179,0.012884405441582203,0.027482224628329277,0.04526791721582413,0.010934121906757355,0.011042150668799877,0.023291639983654022,0.010934121906757355,0.011042150668799877,0.02329164184629917
3,0.042645279318094254,0.010469956323504448,0.01042768731713295,0.021747641265392303,0.010469956323504448,0.01042768731713295,0.021747641265392303,0.038202136754989624,0.009507356211543083,0.00962465163320303,0.019070126116275787,0.009507356211543083,0.009624653495848179,0.019070126116275787
4,0.03580532222986221,0.008755848743021488,0.008709842339158058,0.018339630216360092,0.008755848743021488,0.008709842339158058,0.018339630216360092,0.0322624109685421,0.007832327857613564,0.00794889684766531,0.0164811871945858,0.007832327857613564,0.007948897778987885,0.0164811871945858
5,0.030178090557456017,0.007286100648343563,0.007252296898514032,0.015639694407582283,0.007286101579666138,0.007252296898514032,0.015639694407582283,0.0268943440169096,0.006317121908068657,0.006452643312513828,0.014124578796327114,0.006317121908068657,0.006452643312513828,0.014124578796327114
6,0.025087203830480576,0.005947765428572893,0.00592135451734066,0.013218080624938011,0.005947765428572893,0.00592135451734066,0.013218080624938011,0.022377748042345047,0.005208879709243774,0.005317464005202055,0.011851404793560505,0.005208879709243774,0.005317464005202055,0.011851404793560505
7,0.021052401512861252,0.004909204784780741,0.004897458478808403,0.01124573964625597,0.004909205716103315,0.00489745894446969,0.01124574150890112,0.019167274236679077,0.004401385318487883,0.004459589719772339,0.010306298732757568,0.004401385318487883,0.004459589719772339,0.010306298732757568
8,0.01855458877980709,0.004291974473744631,0.004286225885152817,0.009976387955248356,0.004291975405067205,0.004286225885152817,0.009976387955248356,0.01740471087396145,0.004000329412519932,0.004062076564878225,0.009342305362224579,0.004000329412519932,0.004062076564878225,0.009342305362224579
9,0.016743935644626617,0.0038572417106479406,0.0038629837799817324,0.009023710153996944,0.0038572417106479406,0.0038629837799817324,0.009023711085319519,0.015432083979249,0.0035385629162192345,0.0035800382029265165,0.008313482627272606,0.0035385629162192345,0.0035800382029265165,0.008313482627272606
10,0.015225166454911232,0.003498419653624296,0.0035041014198213816,0.00822264514863491,0.003498419653624296,0.003504101885482669,0.00822264514863491,0.014308908954262733,0.003248293651267886,0.0032780615147203207,0.007782554253935814,0.003248293651267886,0.0032780615147203207,0.007782554719597101
11,0.014109151437878609,0.0032322020269930363,0.0032370188273489475,0.007639930117875338,0.0032322020269930363,0.0032370188273489475,0.007639930117875338,0.013529574498534203,0.003057952504605055,0.0030871983617544174,0.007384424097836018,0.003057952504605055,0.0030871983617544174,0.007384424097836018
12,0.013248905539512634,0.0030257285106927156,0.0030297464691102505,0.007193431258201599,0.0030257292091846466,0.0030297464691102505,0.007193431258201599,0.012724361382424831,0.002870572730898857,0.002902169479057193,0.006951619870960712,0.002870572730898857,0.002902169479057193,0.006951619870960712
13,0.01265997625887394,0.0028858252335339785,0.0028902010526508093,0.006883950904011726,0.0028858252335339785,0.0028902010526508093,0.006883950904011726,0.012103823013603687,0.0027441454585641623,0.002777599496766925,0.006582078989595175,0.0027441454585641623,0.002777599496766925,0.006582078989595175
14,0.01193308550864458,0.0027128977235406637,0.002716213231906295,0.006503974087536335,0.0027128977235406637,0.0027162134647369385,0.006503974087536335,0.011420836672186852,0.0025696540251374245,0.0026006405241787434,0.006250542122870684,0.0025696540251374245,0.0026006405241787434,0.006250542122870684
15,0.011621041223406792,0.0026384771335870028,0.0026385055389255285,0.006344058085232973,0.0026384771335870028,0.002638505771756172,0.006344058085232973,0.011066208593547344,0.0024932371452450752,0.0025234664790332317,0.0060495054349303246,0.0024932371452450752,0.0025234664790332317,0.0060495054349303246
16,0.010940649546682835,0.002475267043337226,0.002474872162565589,0.005990510806441307,0.002475267043337226,0.0024748723953962326,0.005990510806441307,0.010480852797627449,0.002348367590457201,0.0023761431220918894,0.005756343249231577,0.002348367590457201,0.0023761431220918894,0.005756343249231577
17,0.010886839590966702,0.0024567972868680954,0.0024606455117464066,0.005969396326690912,0.0024567972868680954,0.0024606455117464066,0.005969396326690912,0.011400499381124973,0.0025821286253631115,0.002622540108859539,0.006195829715579748,0.0025821286253631115,0.002622540108859539,0.006195829715579748
18,0.010490979999303818,0.0023663195315748453,0.002362067811191082,0.005762592423707247,0.0023663195315748453,0.0023620680440217257,0.005762592423707247,0.010175098665058613,0.0022735479287803173,0.002305965404957533,0.005595586262643337,0.0022735479287803173,0.0023059656377881765,0.005595586262643337
19,0.00981862936168909,0.0021996351424604654,0.0021982036996632814,0.005420790985226631,0.0021996351424604654,0.0021982036996632814,0.005420790985226631,0.00953714270144701,0.0021126375067979097,0.0021411124616861343,0.005283392034471035,0.0021126375067979097,0.0021411124616861343,0.005283392034471035
20,0.009445485658943653,0.002105503110215068,0.0021045866888016462,0.005235396325588226,0.002105503110215068,0.00210458692163229,0.005235396325588226,0.0093607809394598,0.0020680127199739218,0.0020905109122395515,0.0052022566087543964,0.0020680127199739218,0.0020905109122395515,0.005202257540076971
21,0.009172049351036549,0.0020367454271763563,0.002035511424764991,0.005099792033433914,0.0020367454271763563,0.002035511424764991,0.005099792033433914,0.00937824696302414,0.0020754695869982243,0.0021084013860672712,0.005194375291466713,0.0020754695869982243,0.0021084013860672712,0.005194376222789288
