,loss,decoder_loss,decoder_1_loss,decoder_2_loss,val_loss,val_decoder_loss,val_decoder_1_loss,val_decoder_2_loss
4,0.0009699601214379072,0.00019549144781194627,0.00020066616707481444,0.000573802157305181,0.001139952102676034,0.00024318987561855465,0.00023908657021820545,0.0006576753221452236
5,0.0008621226879768074,0.00017441887757740915,0.00017727998783811927,0.0005104230949655175,0.0008083973079919815,0.0001655882952036336,0.00016119808424264193,0.00048161117592826486
6,0.0008145722676999867,0.00016461045015603304,0.00017081049736589193,0.00047915149480104446,0.0009203098015859723,0.00019271127530373633,0.0001910987339215353,0.0005364996031858027
7,0.0007032708963379264,0.00014101351553108543,0.00014380035281646997,0.0004184570861980319,0.0007031874265521765,0.0001388465316267684,0.0001406175288138911,0.00042372322059236467
8,0.0006826554308645427,0.00013770043733529747,0.00014073040802031755,0.00040422508027404547,0.000691138266120106,0.00014078854292165488,0.00013649711036123335,0.00041385265649296343
9,0.0006331574986688793,0.0001270232896786183,0.00013048079563304782,0.0003756536461878568,0.0006931814714334905,0.00013872461568098515,0.0001427557726856321,0.0004117011558264494
10,0.0006025431212037802,0.0001216922391904518,0.00012385424633976072,0.00035699622821994126,0.0007005691877566278,0.00014573606313206255,0.00014449047739617527,0.00041034264722839
11,0.0005981943686492741,0.00012231843720655888,0.00012357444211374968,0.0003523017221596092,0.0005539673147723079,0.00010744816972874105,0.00010876674787141383,0.00033775248448364437
12,0.0005388379795476794,0.00010861000919248909,0.00011011768219759688,0.0003201100626029074,0.0005689422250725329,0.00011243045446462929,0.00011443733092164621,0.0003420744324102998
13,0.000537342915777117,0.00010857886081794277,0.0001115215418394655,0.0003172422293573618,0.0005272934795357287,0.00010546967678237706,0.00010648278839653358,0.0003153408761136234
14,0.0005110161146149039,0.00010357784776715562,0.0001053280575433746,0.00030210998374968767,0.0005172778037376702,0.00010460127668920904,0.00010195128561463207,0.00031072544516064227
15,0.0005234631826169789,0.00010653799108695239,0.00010955533798551187,0.0003073696861974895,0.0006705790874548256,0.00013500729983206838,0.00013573782052844763,0.0003998336906079203
16,0.0004993338952772319,0.00010173413465963677,0.00010375565034337342,0.0002938441757578403,0.00046027719508856535,9.04680200619623e-05,9.145738295046613e-05,0.0002783519448712468
